Date,Deaths
Jan. 2012,20.0
Feb. 2012,17.0
Mar. 2012,25.0
Apr. 2012,31.0
May 2012,19.0
June 2012,25.0
July 2012,29.0
Aug. 2012,20.0
Sep. 2012,16.0
Oct. 2012,19.0
Nov. 2012,28.0
Dec. 2012,21.0
Jan. 2013,20.0
Feb. 2013,21.0
Mar. 2013,33.0
Apr. 2013,31.0
May 2013,28.0
June 2013,25.0
July 2013,39.0
Aug. 2013,21.0
Sep. 2013,28.0
Oct. 2013,19.0
Nov. 2013,31.0
Dec. 2013,38.0
Jan. 2014,23.0
Feb. 2014,38.0
Mar. 2014,28.0
Apr. 2014,29.0
May 2014,40.0
June 2014,29.0
July 2014,25.0
Aug. 2014,37.0
Sep. 2014,32.0
Oct. 2014,35.0
Nov. 2014,28.0
Dec. 2014,25.0
Jan. 2015,43.0
Feb. 2015,31.0
Mar. 2015,32.0
Apr. 2015,34.0
May 2015,41.0
June 2015,34.0
July 2015,40.0
Aug. 2015,53.0
Sep. 2015,50.0
Oct. 2015,53.0
Nov. 2015,52.0
Dec. 2015,66.0
Jan. 2016,85.0
Feb. 2016,58.0
Mar. 2016,76.0
Apr. 2016,72.0
May 2016,51.0
June 2016,71.0
July 2016,74.0
Aug. 2016,65.0
Sep. 2016,63.0
Oct. 2016,77.0
Nov. 2016,140.0
Dec. 2016,161.0
Jan. 2017,148
Feb. 2017,124
Mar. 2017,130
Apr. 2017,155
May 2017,149
June 2017,129
July 2017,122
Aug. 2017,127
Sep. 2017,97
Oct. 2017,98
Nov. 2017,112
Dec. 2017,104
Jan. 2018,134
Feb. 2018,108
Mar. 2018,159
Apr. 2018,135
May 2018,118
June 2018,116
July 2018,151
Aug. 2018,125
Sep. 2018,139
Oct. 2018,119
Nov. 2018,131
Dec. 2018,127
Jan. 2019,94.0
Feb. 2019,84.0
Mar. 2019,119.0
Apr. 2019,82.0
May 2019,88.0
June 2019,74.0
July 2019,72.0
Aug. 2019,84.0
Sep. 2019,62.0
Oct. 2019,79.0
Nov. 2019,81.0
Dec. 2019,62.0
Jan. 2020,80
Feb. 2020,78
Mar. 2020,119
Apr. 2020,128
May 2020,180
June 2020,188
July 2020,185
Aug. 2020,162
Sep. 2020,143
Oct. 2020,176
Nov. 2020,166
Dec. 2020,163
Jan. 2021,188
Feb. 2021,173
Mar. 2021,174
Apr. 2021,184
May 2021,171
June 2021,170
July 2021,196
Aug. 2021,195
Sep. 2021,154
Oct. 2021,201
Nov. 2021,210
Dec. 2021,220
Jan. 2022,209
Feb. 2022,174
Mar. 2022,165
