Date,B.C.,Fraser,Interior,Island,Northern,VCH
2018-01-01,48999,5547,201,9340,442,33469
2018-02-01,46094,5170,235,9075,429,31185
2018-03-01,50502,5547,216,9774,604,34361
2018-04-01,50530,8087,138,8954,518,32833
2018-05-01,55209,9076,251,10175,485,35222
2018-06-01,55337,10674,260,10205,429,33769
2018-07-01,53778,5582,255,12566,494,34881
2018-08-01,56223,6097,322,13076,459,36269
2018-09-01,55688,6223,286,14001,422,34756
2018-10-01,58125,6527,305,14691,436,36166
2018-11-01,55494,5974,321,14442,505,34252
2018-12-01,56548,6854,265,13801,611,35017
2019-01-01,58730,7233,377,15029,718,35373
2019-02-01,53656,5902,377,13249,735,33393
2019-03-01,58584,6397,364,15381,667,35775
2019-04-01,56809,5887,307,14566,548,35501
2019-05-01,55770,5542,298,13792,599,35539
2019-06-01,52049,5802,393,13249,584,32021
2019-07-01,54869,6156,399,12518,538,35258
2019-08-01,54423,6405,331,13294,579,33814
2019-09-01,54368,6234,399,13413,447,33875
2019-10-01,58774,6836,451,14627,622,36238
2019-11-01,55620,6676,450,14164,602,33728
2019-12-01,54881,6385,474,13815,567,33640
2020-01-01,58484,7258,471,14864,645,35246
2020-02-01,53721,7106,502,13551,538,32024
2020-03-01,44102,6377,573,11084,354,25714
2020-04-01,26953,3777,453,6993,120,15610
2020-05-01,30645,3902,586,8861,188,17108
2020-06-01,32354,4197,454,9678,311,17714
2020-07-01,37325,5016,375,10900,261,20773
2020-08-01,39392,5067,345,11442,248,22290
2020-09-01,39416,4201,349,12088,258,22520
2020-10-01,41723,4475,424,13352,312,23160
2020-11-01,42139,4339,370,13990,348,23092
2020-12-01,42516,4652,314,14662,318,22570
2021-01-01,44238,5113,388,14988,312,23437
2021-02-01,39406,4560,347,13483,395,20621
2021-03-01,46514,4626,369,16359,386,24774
2021-04-01,45150,4543,442,15778,242,24145
2021-05-01,48032,4293,635,15381,281,27442
2021-06-01,56385,4548,704,15881,274,34978
2021-07-01,58828,4516,899,15230,234,37949
2021-08-01,55952,3984,824,14078,190,36876
2021-09-01,55604,3626,767,13644,145,37422
2021-10-01,51526,4059,816,11750,177,34724
2021-11-01,49398,4054,848,10377,211,33908
2021-12-01,51682,4485,755,10502,246,35694
2022-01-01,54681,5310,625,12097,184,36465
2022-02-01,53598,4920,654,13001,203,34820
2022-03-01,56427,5669,1045,13658,306,35749
2022-04-01,55911,4960,1097,13138,307,36409
